session_id,timestamp,symbol,price,bue,delta,signal,value_estimate,action,pnl,close_reason,equity
20250608_003002,2025-06-08 00:33:40,TRX,0.280867,0.27874664,-0.7549338298910118,HOLD,19.849013234021797,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,STETH,2520.96,2530.47777333,0.37754559096535373,HOLD,20.075509118193068,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,TRX,0.280867,0.28190623,0.37000786849291734,HOLD,20.074001573698585,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,ADA,0.665243,0.66777764,0.3810096460992331,HOLD,20.07620192921985,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,WBTC,105354.0,106024.8037152,0.6367140452189792,HOLD,20.127342809043796,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,ADA,0.665243,0.66059459,-0.6987536885018026,HOLD,19.86024926229964,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,STETH,2520.96,2533.93937699,0.514858505886637,HOLD,20.102971701177328,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,HYPE,34.78,34.83115876,0.14709246693501973,HOLD,20.029418493387006,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,STETH,2520.96,2518.90501473,-0.08151598081683518,HOLD,19.983696803836633,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,WBTC,105354.0,105720.60800265,0.34797729810923034,HOLD,20.069595459621844,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,SUI,3.24,3.24289647,0.08939722222220975,HOLD,20.017879444444443,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,WBTC,105354.0,105289.09401848,-0.06160751515841986,HOLD,19.987678496968314,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,HYPE,34.78,34.66334556,-0.33540667050028117,HOLD,19.932918665899944,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,WSTETH,3035.27,3017.69991046,-0.5788641386104045,HOLD,19.88422717227792,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,HYPE,34.78,34.77202877,-0.022919005175395482,HOLD,19.99541619896492,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,SUI,3.24,3.2347896,-0.16081481481482007,HOLD,19.967837037037036,SCAN,0,N/A,1000.0
20250608_002833,2025-06-08 00:33:40,LINK,13.92,13.91251889,-0.05374360632184277,HOLD,19.98925127873563,SCAN,0,N/A,1000.0
20250608_002948,2025-06-08 00:33:40,SUI,3.24,3.24764288,0.23589135802468164,HOLD,20.04717827160494,SCAN,0,N/A,1000.0
20250608_003002,2025-06-08 00:33:40,WSTETH,3035.27,3034.21950432,-0.03460962879743944,HOLD,19.99307807424051,SCAN,0,N/A,1000.0
